20080701082738.43,32.28,104.92
20080701091244.93,32.52,105.08
20080701094057.77,32.37,105.49
20080701094627.12,31.86,106.44
20080701114514.52,31.76,104.25
20080701115058.86,31.35,103.73
20080701130216.78,31.30,103.23
20080701133815.13,31.71,104.14
20080701135125.28,31.25,103.57
20080701144748.14,32.59,105.19
20080701150557.34,31.23,103.61
20080701152419.61,32.30,104.81
20080701153331.94,31.30,104.49
20080701161247.18,32.56,105.21
20080701185241.77,31.52,103.85
20080701193238.21,32.81,105.45
20080701202138.75,31.43,103.91
20080701210701.67,32.28,105.15
20080701235111.47,31.14,103.38
20080702002412.23,31.45,103.57
20080702005140.54,31.79,104.28
20080702010412.76,31.79,104.28
20080702010633.60,32.48,105.07
20080702012814.27,31.82,104.31
20080702020752.90,31.91,104.28
20080702022741.77,32.14,104.54
20080702031646.72,31.53,103.68
20080702031850.32,31.66,104.53
20080702034356.85,32.14,104.71
20080702035519.49,31.14,104.11
20080702035609.76,32.10,105.64
20080702035743.21,31.74,104.00
20080702041949.48,31.09,103.30
20080702043215.09,32.42,105.13
20080702051033.46,31.34,103.71
20080702061019.88,31.26,103.70
20080702070350.33,31.99,103.96
20080702070657.03,32.24,104.77
20080702072731.93,31.45,103.58
20080702074352.16,31.05,103.30
20080702082233.56,31.44,103.88
20080702100351.81,32.57,105.08
20080702103343.10,32.27,104.93
20080702104010.76,32.28,104.93
20080702144754.28,31.92,104.20
20080702161733.73,31.48,103.52
20080702164125.97,32.47,105.01
20080702171548.14,31.88,104.17
20080702184255.52,31.70,103.98
20080702205940.98,31.67,104.14
20080702220534.95,32.44,105.17
20080703000453.42,31.37,103.85
20080703001449.41,32.54,105.32
20080703014855.91,32.70,105.39
20080703021552.77,31.40,103.98
20080703023111.07,31.90,104.15
20080703023940.43,31.68,104.46
20080703030904.11,32.44,105.07
20080703041604.35,32.41,104.50
20080703041644.48,32.13,104.47
20080703044431.85,32.67,104.99
20080703045738.90,31.72,104.23
20080703051341.89,31.23,104.20
20080703051518.51,32.18,104.22
20080703051602.63,31.31,103.97
20080703053431.14,31.19,103.66
20080703060114.60,32.37,105.04
20080703061338.70,32.37,105.06
20080703071757.46,31.41,103.84
20080703072708.81,32.37,104.95
20080703110921.96,32.49,105.10
20080703114023.55,31.54,103.98
20080703114956.36,32.66,105.11
20080703120538.75,32.65,104.81
20080703120808.56,31.16,103.70
20080703135310.77,31.89,104.29
20080703145550.78,32.64,105.34
20080703155245.81,31.58,104.01
20080703171735.64,32.66,105.34
20080703184601.32,31.96,104.24
20080703205254.36,32.67,105.37
20080703215153.48,32.30,104.58
20080704004541.11,32.45,105.17
20080704004906.20,31.78,104.18
20080704011714.21,31.96,104.26
20080704012259.85,31.91,104.23
20080704012755.31,31.90,104.17
20080704014231.34,31.07,103.42
20080704015246.34,32.60,105.24
20080704021548.55,32.76,105.31
20080704023221.60,31.89,104.16
20080704030139.25,31.85,104.17
20080704034017.32,32.20,104.52
20080704035732.07,32.30,104.65
20080704040830.43,32.66,105.26
20080704045221.57,31.81,104.18
20080704051507.29,31.49,103.91
20080704052204.89,32.39,104.96
20080704054653.97,31.38,103.68
20080704055813.26,32.66,105.43
20080704063054.49,32.27,104.73
20080704065847.08,31.52,104.03
20080704075227.31,31.06,103.43
20080704083116.06,31.68,104.07
20080704090609.00,32.63,104.99
20080704091243.58,32.39,105.24
20080704091437.02,32.52,105.19
20080704093732.55,32.47,105.16
20080704094504.88,32.01,104.77
20080704104903.27,32.92,105.35
20080704114409.78,32.25,104.53
20080704125925.53,31.25,104.17
20080704213346.38,31.41,103.93
20080704214503.01,31.92,104.20
20080704224552.36,31.34,103.83
20080704224919.67,31.31,104.25
20080705015433.50,31.05,103.93
20080705020905.42,32.40,105.01
20080705022011.74,32.56,105.33
20080705023118.13,32.74,105.59
20080705024951.38,32.12,104.72
20080705025058.25,32.94,106.24
20080705025208.38,32.50,105.05
20080705031314.61,32.35,104.87
20080705032508.76,31.86,104.23
20080705043353.63,32.29,105.00
20080705061051.68,31.82,104.08
20080705075031.14,31.86,104.24
20080705081953.27,31.75,104.14
20080705101821.09,32.14,104.88
20080705111734.44,31.72,104.19
20080705120941.74,31.39,103.86
20080705124838.52,31.86,104.46
20080705142910.59,31.32,103.68
20080705150057.44,31.83,104.02
20080705161347.36,32.29,105.02
20080705163917.04,32.43,104.98
20080705170303.87,32.16,104.62
20080705175358.49,32.41,105.12
20080706005202.74,32.29,104.75
20080706012313.18,31.29,103.18
20080706012529.85,31.24,103.58
20080706020424.36,32.48,105.11
20080706020951.52,32.51,105.03
20080706021153.48,32.64,105.27
20080706024753.12,31.44,104.05
20080706025006.74,31.60,104.16
20080706031315.45,32.41,105.04
20080706041153.77,31.64,104.36
20080706041426.31,31.55,104.06
20080706042552.51,31.18,103.40
20080706043450.83,31.46,103.82
